fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
9907233,1,1,0,0,0,1,5
9304257,82,4,78,919,39,43,43
9502363,29,2,27,182,6,23,55
9301212,22,6,16,40,1,21,21
9702321,9,1,8,11,2,7,16
9608317,18,3,15,65,18,0,0
9612402,18,2,16,70,1,17,44
105325,6,3,3,3,0,6,29
9702265,24,4,20,67,0,24,68
9808443,15,2,13,35,8,7,7
9307342,22,4,18,39,22,0,0
9904287,10,4,6,12,1,9,25
9409320,7,1,6,9,7,0,0
9611363,38,3,35,146,2,36,143
9307371,30,3,27,154,22,8,8
9407248,17,3,14,34,2,15,29
9809266,8,2,6,12,7,1,2
9904210,31,2,29,117,0,31,446
9710209,37,3,34,154,0,37,310
9906516,31,2,29,160,0,31,165
9903460,22,2,20,71,0,22,167
9505395,11,2,9,19,8,3,5
9212204,19,6,13,40,19,0,0
9503439,30,8,22,76,30,0,0
9312214,3,2,1,1,1,2,7
9407247,97,3,94,1038,97,0,0
9211325,5,2,3,3,1,4,4
9606467,7,2,5,14,1,6,11
9708213,6,2,4,6,0,6,12
9306205,46,16,30,102,17,29,29
9511288,104,3,101,1242,44,60,60
9803308,6,2,4,4,0,6,19
9509204,84,3,81,787,4,80,404
9705356,31,7,24,161,1,30,139
8004,16,1,15,48,4,12,14
9910237,31,2,29,179,1,30,236
9801271,36,20,16,42,0,36,568
9612490,13,4,9,20,0,13,49
9709306,12,4,8,18,0,12,126
9412393,21,3,18,47,3,18,22
9607214,38,2,36,241,19,19,26
9412340,24,1,23,126,24,0,0
104122,0,0,0,0,0,0,0
9603404,86,3,83,805,2,84,317
108226,1,1,0,0,0,1,5
9406428,18,2,16,76,3,15,15
9311209,3,1,2,2,3,0,0
9707222,7,3,4,12,0,7,16
9801443,26,6,20,62,1,25,100
9603412,12,4,8,22,1,11,43
9308315,22,3,19,103,1,21,36
9310276,24,8,16,76,17,7,7
9407405,12,4,8,22,12,0,0
9708239,22,2,20,79,1,21,140
9411220,6,3,3,5,6,0,0
9702201,12,3,9,15,6,6,6
9407337,4,1,3,4,4,0,0
9908388,15,6,9,44,0,15,46
4270,5,2,3,7,0,5,8
9507237,17,4,13,36,7,10,26
6083,4,1,3,4,0,4,21
9703437,29,1,28,93,1,28,175
9703213,15,2,13,49,15,0,0
9907517,7,1,6,14,0,7,59
9607293,8,2,6,14,8,0,0
9402219,18,3,15,38,18,0,0
9904267,63,7,56,309,0,63,454
9608364,3,2,1,1,1,2,2
9409269,18,1,17,54,1,17,28
9410218,6,1,5,7,6,0,0
9306294,44,3,41,257,22,22,22
9910299,5,2,3,5,0,5,66
9702210,21,4,17,57,10,11,22
9801453,3,3,0,0,0,3,22
9705347,57,5,52,324,0,57,221
2032,7,3,4,9,0,7,25
9912251,42,2,40,376,2,40,99
1095,40,3,37,212,0,40,429
9811473,90,2,88,1207,3,87,389
9909574,60,3,57,475,1,59,635
9910313,44,2,42,272,0,44,465
3150,15,3,12,22,0,15,78
206020,16,2,14,60,2,14,45
9209269,27,6,21,103,27,0,0
9910506,2,2,0,0,0,2,8
9605447,13,6,7,9,0,13,65
9411281,2,1,1,1,2,0,0
9404293,6,2,4,10,6,0,0
9510370,13,3,10,34,1,12,16
9706268,11,1,10,33,0,11,27
9905436,7,2,5,12,0,7,7
9501341,58,1,57,602,58,0,0
9707207,4,1,3,4,4,0,0
9903207,8,4,4,6,0,8,35
9703379,32,2,30,175,0,32,115
9411301,35,1,34,134,35,0,0
9408242,25,2,23,92,3,22,41
9605440,8,1,7,11,3,5,5
208177,19,6,13,21,0,19,149
9701231,25,3,22,104,3,22,56
9501334,69,6,63,566,15,54,54
9041,15,2,13,33,1,14,41
9706238,9,3,6,17,0,9,15
9209256,18,4,14,81,18,0,0
202110,11,6,5,9,0,11,188
101020,7,3,4,6,0,7,35
9908531,27,1,26,163,1,26,100
9808459,38,2,36,238,2,36,102
9406390,31,3,28,145,6,25,49
12123,8,2,6,18,0,8,109
9308274,19,3,16,60,14,5,5
5259,14,1,13,39,4,10,17
9901256,3,2,1,1,0,3,11
9411255,10,3,7,10,0,10,10
9701284,87,2,85,997,1,86,295
9503415,10,2,8,19,0,10,30
9610456,13,4,9,22,1,12,88
9603408,21,2,19,57,10,11,11
9910250,18,4,14,28,0,18,127
9702408,14,2,12,20,2,12,29
9905395,20,3,17,80,0,20,511
9909240,4,1,3,4,0,4,28
9604383,53,2,51,338,37,16,16
10075,37,1,36,330,0,37,496
207043,10,5,5,6,0,10,85
210009,4,4,0,0,0,4,62
107287,4,2,2,3,0,4,18
9706344,64,1,63,428,4,60,177
9701311,7,1,6,9,0,7,17
9904262,39,3,36,202,0,39,728
9910498,16,4,12,33,0,16,49
9709364,32,2,30,182,0,32,77
106166,62,2,60,516,0,62,331
9611310,6,3,3,4,1,5,9
9405296,29,3,26,116,29,0,0
9604244,18,3,15,57,0,18,47
9811444,4,1,3,3,4,0,0
9612232,6,2,4,5,0,6,30
203158,3,1,2,3,0,3,24
110317,7,4,3,3,0,7,38
9906225,3,2,1,1,0,3,9
9809427,51,5,46,190,0,51,442
9411365,144,9,135,1359,0,144,571
9510333,15,2,13,25,0,15,48
9510350,15,2,13,35,15,0,0
9212268,10,2,8,20,10,0,0
9509432,11,4,7,11,5,6,6
103151,15,2,13,49,0,15,23
2134,16,3,13,41,0,16,84
9709244,0,0,0,0,0,0,0
9801391,38,5,33,232,0,38,336
9605226,2,1,1,1,0,2,6
9707239,10,1,9,21,0,10,134
9501402,2,1,1,1,0,2,8
9312279,20,2,18,71,20,0,0
9907489,46,3,43,276,0,46,533
6096,11,3,8,18,0,11,107
9809456,3,3,0,0,3,0,0
9412381,13,1,12,41,9,4,5
9710270,57,2,55,400,0,57,285
9705475,0,0,0,0,0,0,0
9306289,39,1,38,185,39,0,0
9903411,7,3,4,9,0,7,70
9512404,48,2,46,225,0,48,172
9812513,9,4,5,8,0,9,38
204221,8,5,3,6,0,8,61
9803256,35,7,28,102,0,35,339
