fp_int_id,cp_level,cp_r_citing_zero,cp_r_citing_nonzero,tr_citing,cp_r_cited_zero,cp_r_cited_nonzero,tr_cited
9907233,3,3,0,0,1,2,7
12308,113,14,99,463,40,73,229
6124,203,21,182,1177,14,189,894
9408404,133,15,118,1170,35,98,174
9707225,31,5,26,66,13,18,35
9403254,37,8,29,115,34,3,3
9506374,92,8,84,823,10,82,351
9806230,5,3,2,4,5,0,0
9802300,72,3,69,619,6,66,342
9503486,108,28,80,236,70,38,147
9402360,103,16,87,561,23,80,237
9501212,12,4,8,16,7,5,6
9305232,43,5,38,117,11,32,32
1166,56,13,43,118,0,56,397
3033,37,14,23,45,1,36,313
9606231,36,7,29,141,1,35,136
9709284,6,2,4,6,1,5,31
9909352,17,3,14,33,0,17,94
12256,3,2,1,1,0,3,21
9507438,5,2,3,5,1,4,5
9811250,7,2,5,13,4,3,9
9207258,8,3,5,10,8,0,0
9409458,91,13,78,260,73,18,27
9809275,10,4,6,11,1,9,47
108059,13,3,10,18,0,13,150
9504417,2,2,0,0,1,1,1
9303219,4,4,0,0,3,1,1
9211247,21,10,11,22,21,0,0
9503463,32,1,31,167,18,14,18
9403230,55,8,47,247,14,41,51
9306293,4,2,2,3,4,0,0
9411256,9,4,5,9,5,4,7
9803449,1,1,0,0,0,1,2
9709388,127,10,117,1008,48,79,85
9809596,99,5,94,699,2,97,1107
9802328,13,4,9,15,4,9,21
9411315,3,2,1,1,3,0,0
9305205,26,9,17,41,10,16,29
9808355,64,5,59,346,2,62,620
9907390,48,4,44,210,0,48,275
9505385,120,12,108,631,76,44,72
9411341,24,9,15,41,18,6,6
9808419,15,7,8,17,0,15,81
9806490,1,1,0,0,0,1,7
9801276,27,8,19,54,9,18,35
9406241,34,2,32,136,34,0,0
9708213,17,2,15,47,3,14,54
9804262,24,4,20,95,7,17,23
9306235,24,3,21,43,17,7,7
9301220,3,2,1,1,3,0,0
9805427,27,4,23,99,0,27,168
9803255,10,3,7,11,6,4,8
9503312,7,5,2,2,7,0,0
9810257,19,7,12,16,0,19,130
9706546,13,5,8,20,2,11,41
9501277,100,14,86,285,35,65,94
9601387,57,10,47,223,6,51,125
9304277,64,20,44,271,19,45,107
9705416,39,8,31,164,0,39,429
9708495,14,3,11,35,0,14,46
107121,5,2,3,4,1,4,12
9909473,20,2,18,79,1,19,19
9404281,71,11,60,440,30,41,67
9706512,30,2,28,70,0,30,116
12371,13,4,9,18,2,11,102
10209,2,1,1,1,0,2,8
9605398,113,8,105,788,5,108,627
9702307,33,10,23,69,1,32,224
9710217,25,6,19,55,2,23,268
9301273,12,5,7,13,12,0,0
9809364,21,5,16,31,0,21,179
101089,14,6,8,15,0,14,40
9609341,34,7,27,95,1,33,169
102289,7,4,3,4,1,6,20
11323,10,2,8,15,0,10,326
9807495,9,2,7,16,1,8,25
9803370,15,5,10,18,2,13,62
9712531,12,2,10,31,0,12,82
9902362,8,4,4,9,1,7,41
1177,11,4,7,19,0,11,51
9506289,58,2,56,273,44,14,15
9410280,138,28,110,518,32,106,251
9711301,1,1,0,0,0,1,4
9811337,206,10,196,2287,0,206,876
9305275,51,12,39,181,7,44,93
9502321,28,8,20,57,1,27,118
9504349,40,7,33,104,40,0,0
9405373,4,4,0,0,4,0,0
9705218,13,1,12,36,0,13,50
9512328,86,4,82,441,27,59,154
9410414,41,4,37,196,41,0,0
9712302,65,5,60,398,1,64,171
9707375,5,4,1,1,0,5,10
9402283,146,24,122,534,146,0,0
9601336,32,11,21,40,11,21,23
9507327,4,2,2,3,2,2,2
9609295,2,2,0,0,0,2,9
9406233,14,6,8,13,14,0,0
9705217,5,5,0,0,1,4,16
9204202,14,7,7,13,14,0,0
9705401,36,5,31,96,15,21,65
9803385,7,7,0,0,2,5,10
9401246,31,8,23,82,1,30,164
9805488,17,6,11,23,1,16,96
9607293,13,5,8,21,11,2,2
9203206,21,8,13,19,21,0,0
9908416,2,1,1,1,0,2,6
9506451,140,16,124,613,101,39,40
9411273,36,7,29,60,36,0,0
9501375,81,7,74,320,17,64,180
9406318,26,2,24,119,9,17,17
9907267,14,3,11,31,1,13,109
9501229,14,3,11,26,5,9,16
9409250,48,13,35,157,38,10,10
9906210,25,4,21,41,0,25,175
9505257,2,1,1,1,0,2,9
9906510,3,2,1,1,0,3,4
9701423,44,2,42,201,1,43,214
9611376,2,1,1,1,0,2,6
2078,27,5,22,46,0,27,202
9712471,30,2,28,115,5,25,82
9904344,35,3,32,135,7,28,38
9709442,51,2,49,220,3,48,222
9507363,42,4,38,227,1,41,85
5228,33,4,29,105,1,32,210
9902335,23,2,21,113,2,21,76
9306220,33,12,21,72,33,0,0
9406300,30,5,25,60,3,27,47
11273,6,2,4,5,0,6,53
9705438,2,2,0,0,0,2,2
9407314,19,9,10,16,7,12,12
207164,3,2,1,1,0,3,16
9905244,12,2,10,25,0,12,102
9505289,31,9,22,58,3,28,146
9509212,28,6,22,67,2,26,60
9906270,18,5,13,25,1,17,64
9801445,40,10,30,164,5,35,117
9306248,34,12,22,91,34,0,0
9801365,39,8,31,94,3,36,288
9804237,29,2,27,109,0,29,169
9511470,6,1,5,7,0,6,9
